Time,"1INCH / Price, USD","AAVE / Price, USD","ADA / Price, USD","ALGO / Price, USD","ALPHA / Price, USD","ANT / Price, USD","BAL / Price, USD","BAT / Price, USD","BCH / Price, USD","BNB / Price, USD","BSV / Price, USD","BTC / Price, USD","BTG / Price, USD","BUSD / Price, USD","COMP / Price, USD","CRO / Price, USD","CRV / Price, USD","CVC / Price, USD","DAI / Price, USD","DASH / Price, USD","DCR / Price, USD","DGB / Price, USD","DOGE / Price, USD","DOT / Price, USD","DRGN / Price, USD","ELF / Price, USD","EOS / Price, USD","EOS_ETH / Price, USD","ETC / Price, USD","ETH / Price, USD","FTT / Price, USD","FUN / Price, USD","GAS / Price, USD","GNO / Price, USD","GNT / Price, USD","GRIN / Price, USD","GUSD / Price, USD","HBTC / Price, USD","HEDG / Price, USD","HT / Price, USD","HUSD / Price, USD","ICP / Price, USD","KNC / Price, USD","LEND / Price, USD","LEO_EOS / Price, USD","LEO_ETH / Price, USD","LINK / Price, USD","LOOM / Price, USD","LPT / Price, USD","LTC / Price, USD","MAID / Price, USD","MANA / Price, USD","MATIC_ETH / Price, USD","MKR / Price, USD","NEO / Price, USD","NXM / Price, USD","OMG / Price, USD","PAX / Price, USD","PAXG / Price, USD","PAY / Price, USD","PERP / Price, USD","POLY / Price, USD","POWR / Price, USD","PPT / Price, USD","QASH / Price, USD","QNT / Price, USD","REN / Price, USD","RENBTC / Price, USD","REP / Price, USD","REV_ETH / Price, USD","SAI / Price, USD","SNT / Price, USD","SNX / Price, USD","SRM / Price, USD","SUSHI / Price, USD","SWRV / Price, USD","TRX / Price, USD","TRX_ETH / Price, USD","TUSD / Price, USD","UMA / Price, USD","UNI / Price, USD","USDC / Price, USD","USDK / Price, USD","VTC / Price, USD","WBTC / Price, USD","WETH / Price, USD","WNXM / Price, USD","WTC / Price, USD","XAUT / Price, USD","XEM / Price, USD","XLM / Price, USD","XMR / Price, USD","XRP / Price, USD","XTZ / Price, USD","XVG / Price, USD","YFI / Price, USD","ZEC / Price, USD","ZRX / Price, USD"
2010-08-03,,,,,,,,,,,,0.060012151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-04,,,,,,,,,,,,0.05701578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-05,,,,,,,,,,,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-06,,,,,,,,,,,,0.061671315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-07,,,,,,,,,,,,0.059003945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-08,,,,,,,,,,,,0.0609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-09,,,,,,,,,,,,0.0704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-10,,,,,,,,,,,,0.069338729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-11,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-12,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
