Date,Allocation_Long,Allocation_Short,EOW_Returns,NAV
2023-10-04,,UNI,0.016178861788617827,1968.0
2023-09-10,,,0.0012601008080646015,1999.84
2023-09-17,,,-0.001178609241095474,2002.36
2023-09-24,LINK,,0.10842000000000018,2000.0
2023-10-01,LINK,,-0.024981505205608046,2216.84
2023-10-08,,,0.0,2161.46
2023-10-15,,ETH,-0.051798321504908706,2161.46
2023-10-22,BTC,,0.1710173212978776,2049.5
2023-10-29,BTC,,,2400.0
